year,F14C
1950.0417,0.9737
1950.125,0.9737
1950.2083,0.9738
1950.2917,0.9739
1950.375,0.9740
1950.4583,0.9741
1950.5417,0.9742
1950.625,0.9742
1950.7083,0.9743
1950.7917,0.9743
1950.875,0.9744
1950.9583,0.9744
1951.0417,0.9744
1951.125,0.9744
1951.2083,0.9743
1951.2917,0.9743
1951.375,0.9742
1951.4583,0.9741
1951.5417,0.9740
1951.625,0.9739
1951.7083,0.9738
1951.7917,0.9737
1951.875,0.9736
1951.9583,0.9735
1952.0417,0.9735
1952.125,0.9735
1952.2083,0.9736
1952.2917,0.9737
1952.375,0.9739
1952.4583,0.9742
1952.5417,0.9746
1952.625,0.9750
1952.7083,0.9756
1952.7917,0.9762
1952.875,0.9769
1952.9583,0.9776
1953.0417,0.9783
1953.125,0.9791
1953.2083,0.9798
1953.2917,0.9805
1953.375,0.9812
1953.4583,0.9819
1953.5417,0.9825
1953.625,0.9830
1953.7083,0.9835
1953.7917,0.9840
1953.875,0.9846
1953.9583,0.9851
1954.0417,0.9857
1954.125,0.9865
1954.2083,0.9873
1954.2917,0.9882
1954.375,0.9893
1954.4583,0.9906
1954.5417,0.9921
1954.625,0.9937
1954.7083,0.9956
1954.7917,0.9976
1954.875,0.9997
1954.9583,1.0019
1955.0417,1.0042
1955.125,1.0065
1955.2083,1.0089
1955.2917,1.0112
1955.375,1.0135
1955.4583,1.0157
1955.5417,1.0179
1955.625,1.0200
1955.7083,1.0220
1955.7917,1.0240
1955.875,1.0260
1955.9583,1.0279
1956.0417,1.0300
1956.125,1.0320
1956.2083,1.0342
1956.2917,1.0365
1956.375,1.0389
1956.4583,1.0414
1956.5417,1.0442
1956.625,1.0471
1956.7083,1.0501
1956.7917,1.0533
1956.875,1.0566
1956.9583,1.0600
1957.0417,1.0635
1957.125,1.0670
1957.2083,1.0704
1957.2917,1.0739
1957.375,1.0774
1957.4583,1.0807
1957.5417,1.0840
1957.625,1.0872
1957.7083,1.0905
1957.7917,1.0939
1957.875,1.0976
1957.9583,1.1015
1958.0417,1.1058
1958.125,1.1037
1958.2083,1.1029
1958.2917,1.1068
1958.375,1.1175
1958.4583,1.1330
1958.5417,1.1475
1958.625,1.1559
1958.7083,1.1582
1958.7917,1.1592
1958.875,1.1640
1958.9583,1.1739
1959.0417,1.1862
1959.125,1.1984
1959.2083,1.2114
1959.2917,1.2278
1959.375,1.2473
1959.4583,1.2645
1959.5417,1.2715
1959.625,1.2653
1959.7083,1.2505
1959.7917,1.2358
1959.875,1.2265
1959.9583,1.2200
1960.0417,1.2108
1960.125,1.2005
1960.2083,1.1950
1960.2917,1.2017
1960.375,1.2193
1960.4583,1.2365
1960.5417,1.2412
1960.625,1.2306
1960.7083,1.2140
1960.7917,1.2036
1960.875,1.2044
1960.9583,1.2104
1961.0417,1.2124
1961.125,1.2081
1961.2083,1.2045
1961.2917,1.2105
1961.375,1.2265
1961.4583,1.2424
1961.5417,1.2457
1961.625,1.2340
1961.7083,1.2178
1961.7917,1.2120
1961.875,1.2226
1961.9583,1.2433
1962.0417,1.2630
1962.125,1.2782
1962.2083,1.2963
1962.2917,1.3256
1962.375,1.3634
1962.4583,1.3962
1962.5417,1.4110
1962.625,1.4071
1962.7083,1.3964
1962.7917,1.3930
1962.875,1.4016
1962.9583,1.4163
1963.0417,1.4308
1963.125,1.4493
1963.2083,1.4881
1963.2917,1.5635
1963.375,1.6751
1963.4583,1.7992
1963.5417,1.8993
1963.625,1.9478
1963.7083,1.9429
1963.7917,1.9052
1963.875,1.8615
1963.9583,1.8284
1964.0417,1.8102
1964.125,1.8065
1964.2083,1.8179
1964.2917,1.8439
1964.375,1.8772
1964.4583,1.9046
1964.5417,1.9138
1964.625,1.9016
1964.7083,1.8743
1964.7917,1.8420
1964.875,1.8127
1964.9583,1.7891
1965.0417,1.7721
1965.125,1.7614
1965.2083,1.7594
1965.2917,1.7683
1965.375,1.7857
1965.4583,1.8022
1965.5417,1.8070
1965.625,1.7948
1965.7083,1.7706
1965.7917,1.7440
1965.875,1.7224
1965.9583,1.7064
1966.0417,1.6938
1966.125,1.6848
1966.2083,1.6828
1966.2917,1.6905
1966.375,1.7050
1966.4583,1.7186
1966.5417,1.7237
1966.625,1.7176
1966.7083,1.7038
1966.7917,1.6886
1966.875,1.6757
1966.9583,1.6651
1967.0417,1.6552
1967.125,1.6467
1967.2083,1.6433
1967.2917,1.6473
1967.375,1.6560
1967.4583,1.6622
1967.5417,1.6604
1967.625,1.6505
1967.7083,1.6372
1967.7917,1.6248
1967.875,1.6134
1967.9583,1.6008
1968.0417,1.5875
1968.125,1.5775
1968.2083,1.5756
1968.2917,1.5821
1968.375,1.5921
1968.4583,1.5984
1968.5417,1.5971
1968.625,1.5899
1968.7083,1.5817
1968.7917,1.5764
1968.875,1.5742
1968.9583,1.5719
1969.0417,1.5675
1969.125,1.5624
1969.2083,1.5604
1969.2917,1.5631
1969.375,1.5675
1969.4583,1.5682
1969.5417,1.5628
1969.625,1.5546
1969.7083,1.5498
1969.7917,1.5508
1969.875,1.5541
1969.9583,1.5535
1970.0417,1.5462
1970.125,1.5361
1970.2083,1.5302
1970.2917,1.5329
1970.375,1.5418
1970.4583,1.5505
1970.5417,1.5543
1970.625,1.5528
1970.7083,1.5483
1970.7917,1.5416
1970.875,1.5304
1970.9583,1.5139
1971.0417,1.4964
1971.125,1.4874
1971.2083,1.4938
1971.2917,1.5131
1971.375,1.5342
1971.4583,1.5453
1971.5417,1.5425
1971.625,1.5310
1971.7083,1.5190
1971.7917,1.5108
1971.875,1.5050
1971.9583,1.4984
1972.0417,1.4904
