year,NH,SH
2023,0.995300891,1.009129333
2022,0.998734338,1.011827
2021,1.002167785,1.014524667
2020,1.005601233,1.017222333
2019,1.00903468,1.01992
2018,1.013279383,1.021158333
2017,1.015694775,1.024483333
2016,1.019030392,1.028875
2015,1.023484792,1.030966667
2014,1.026201917,1.033408333
2013,1.030112817,1.039275
2012,1.038131817,1.043266667
2011,1.041758542,1.048033333
2010,1.047001275,1.05615
2009,1.050750567,1.0579
2008,1.054490808,1.059958333
2007,1.057786142,1.063075
2006,1.061921542,1.067458333
2005,1.065155992,1.072
2004,1.068963092,1.07685
2003,1.07600105,1.083375
2002,1.081081392,1.088775
2001,1.086392725,1.091341667
2000,1.093157842,1.096383333
1999,1.097504892,1.100225
1998,1.103881142,1.107183333
1997,1.106538975,1.113491667
1996,1.111961383,1.117433333
1995,1.119121133,1.121816667
1994,1.124925275,1.127875
1993,1.131114842,1.136066667
1992,1.139388408,1.146808333
1991,1.143687475,1.149483333
