DB_ID,reference,DOI,site_id,date,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD-CH4_value_permil,dD-CH4_uncertainty,dD-CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
1,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR1,2003-06-17,2003,River,Strickland,DIC,-9.8,0.025,permil,,,,Arizona_AMS,70240,0.8300,0.0039,fraction modern,-194,7.8,permil,1490,19,7.48,-7.5,141.384,Papua New Guinea,S,1.0834,0.7661,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,27.5,A,A,,75000,large,35058.7,2630.451,21,803,85,229,3711,241,0,38,69,5,0,0,0,0,30,32,38,55,24,564,0,40,9,265,2403,151,0,76,25,14,4,0,0,0,30,29,41,88,0,664,0,57,1,1,8,1,1040.8
2,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR2,2003-06-09,2003,River,Strickland,DIC,-8.6,0.025,permil,,,,Arizona_AMS,70237,0.6500,0.0040,fraction modern,-373,8.0,permil,3515,25,7.48,-7.371,142.082,Papua New Guinea,S,1.0834,0.6000,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,27.7,A,A,,5000,large,154.8,7.956,0,65,10,263,2914,182,0,0,45,7,0,0,0,0,27,29,44,35,0,49,0,57,52,264,2865,179,0,0,42,7,0,0,0,0,27,28,45,35,0,85,0,41,22,1,8,1,1335.2
3,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR3,2003-06-15,2003,River,Strickland,DIC,-10.3,0.025,permil,,,,Arizona_AMS,70238,0.8400,0.0040,fraction modern,-183,7.9,permil,1390,19,7.85,-7.255,141.693,Papua New Guinea,S,1.0834,0.7754,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,26.9,A,A,,35000,large,26338.8,2051.958,1,1054,110,216,3810,251,0,22,77,4,0,0,0,0,31,33,36,60,33,717,0,43,17,266,2820,176,0,72,87,9,0,0,0,0,32,30,38,121,0,84,0,49,16,1,8,1,2013.6
4,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR5,2003-06-20,2003,River,Strickland,DIC,-8.8,0.025,permil,,,,Arizona_AMS,70241,0.8100,0.0040,fraction modern,-214,8.0,permil,1670,20,7.69,-6.901,142.045,Papua New Guinea,S,1.0834,0.7477,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,25.1,A,A,,24000,large,23626.3,1859.337,0,1166,121,211,3857,256,0,18,81,4,0,0,0,0,31,34,36,61,36,789,0,44,36,266,3433,211,0,83,83,5,0,0,0,0,31,29,40,121,0,176,0,10,31,1,8,1,1461.1
5,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,FLY1,2003-06-08,2003,River,Fly,DIC,-10.8,0.025,permil,,,,Arizona_AMS,70235,0.8800,0.0039,fraction modern,-147,7.8,permil,1040,18,7.24,-7.586,141.318,Papua New Guinea,S,1.0834,0.8123,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,29.0,A,A,,35000,large,19518.7,2007.121,25,248,39,257,4500,286,0,56,72,10,0,0,0,0,31,33,35,51,11,156,0,21,7,265,2367,149,0,78,89,15,4,0,0,0,32,28,40,93,0,160,0,33,0,1,8,1,901.8
6,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,FLY2,2003-06-17,2003,River,Fly,DIC,-10.5,0.025,permil,,,,Arizona_AMS,70239,0.9100,0.0041,fraction modern,-120,8.1,permil,790,18,6.95,-7.588,141.324,Papua New Guinea,S,1.0834,0.8400,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,28.5,A,A,,35000,large,19527.7,2005.189,25,248,39,257,4499,286,0,56,72,10,0,0,0,0,31,33,35,51,11,156,0,21,7,266,2364,149,0,83,39,15,4,0,0,0,32,29,38,118,0,157,0,31,1,1,8,1,1057.5
7,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,FLY3,2003-06-17,2003,River,Fly,DIC,-10.6,0.025,permil,,,,Arizona_AMS,70234,0.9000,0.0040,fraction modern,-129,8.0,permil,870,18,6.92,-7.582,141.314,Papua New Guinea,S,1.0834,0.8307,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,28.1,A,A,,35000,large,19518.7,2007.121,25,248,39,257,4500,286,0,56,72,10,0,0,0,0,31,33,35,51,11,156,0,21,7,265,2367,149,0,78,89,15,4,0,0,0,32,28,40,93,0,160,0,33,0,1,8,1,1094.3
8,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,HERB1,2003-06-23,2003,River,Herbert,DIC,-8.4,0.025,permil,,,,Arizona_AMS,70236,0.9300,0.0039,fraction modern,-102,7.8,permil,600,17,7.06,-7.277,141.506,Papua New Guinea,S,1.0834,0.8584,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,28.1,A,A,,5100,large,7122.5,541.121,89,50,11,265,3579,221,0,90,46,6,0,0,0,0,28,29,42,35,0,77,0,30,12,266,2826,176,0,83,0,3,0,0,0,0,28,28,44,41,0,61,0,10,1,1,8,1,219.7
9,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,Beaver Pond Stream,1991-01-01,1991,Stream,Harp Basin,DIC,-22.1,0.2,permil,,,,,,1.1100,0.0100,fraction modern,102,10.0,permil,modern,,,45.377183,-79.14733,Canada,N,1.1437,0.9705,Stream,Collected and directly acidified for analysis ,,,C,A,,1.5,small,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,39.13405495
10,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,3A,1991-01-01,1991,Stream,Harp Basin,DIC,-21.0,0.2,permil,,,,,,1.1300,0.0100,fraction modern,127,10.0,permil,modern,,,45.373628,-79.14322,Canada,N,1.1437,0.9880,Stream,Collected and directly acidified for analysis ,,,C,A,,0.5,small,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,100.7493755
